cluster,n_test_samples,fve_mean,cosine_mean,mse_mean
0,11,0.7996949553489685,0.9943104386329651,4.252878189086914
1,2,0.944830060005188,0.9971394538879395,9.381746292114258
2,5,0.9816536903381348,0.9980322122573853,10.197096824645996
3,11,0.7786383032798767,0.9962717294692993,6.22087287902832
4,2,0.9394872188568115,0.9912500381469727,4.2140703201293945
5,6,0.3217983543872833,0.9946060180664062,5.1220221519470215
6,1,0.9952095150947571,0.9990648627281189,8.166000366210938
7,8,0.9742652773857117,0.9976531267166138,9.41207218170166
8,9,0.9327517747879028,0.9970072507858276,6.867731094360352
9,9,0.6567656993865967,0.99375319480896,5.149437427520752
10,10,0.8947451710700989,0.9870477914810181,6.737973690032959
11,8,0.5007830858230591,0.9960476756095886,5.207261085510254
12,7,0.9355164766311646,0.9916874766349792,4.180238246917725
13,10,0.8704433441162109,0.9936402440071106,4.117101192474365
14,10,0.9575861096382141,0.9914805293083191,3.623403549194336
15,9,0.9160465598106384,0.9912453889846802,4.6735711097717285
17,3,0.8404154181480408,0.9957621097564697,7.270044326782227
18,9,0.9447607398033142,0.9881230592727661,4.953812122344971
19,7,0.9639244675636292,0.9972125291824341,9.413938522338867
20,6,0.882835865020752,0.989136278629303,6.072054386138916
21,2,0.9576339721679688,0.9974668025970459,6.377363681793213
22,2,0.755290150642395,0.9960004091262817,6.478482246398926
23,2,0.7579294443130493,0.9885791540145874,7.863283157348633
24,9,0.43740135431289673,0.994755208492279,4.83491325378418
25,8,-0.04529891163110733,0.9951012134552002,5.423478126525879
26,1,0.9885163307189941,0.9986830949783325,9.607056617736816
27,5,0.7698186039924622,0.991857647895813,6.201233863830566
28,8,0.8875166177749634,0.9967294335365295,6.047701835632324
29,4,0.1843079924583435,0.9943752288818359,6.731760501861572
30,5,0.9599981307983398,0.9839338064193726,5.324796199798584
31,11,0.9174123406410217,0.9928960800170898,3.904808759689331
